cycle,branch,district,forecastdate,expression,name_D1,name_D2,name_D3,name_D4,name_I1,name_R1,name_R2,name_R3,name_R4,name_O1,winner_D1,winner_D2,winner_D3,winner_D4,winner_R1,winner_R2,winner_R3,winner_R4,winner_I1,winner_O1,winner_Dparty,winner_Rparty,tipping,vpi,mean_predicted_turnout,p90_simmed_turnout_gross,p10_simmed_turnout_gross,voteshare_mean_D1,voteshare_mean_D2,voteshare_mean_D3,voteshare_mean_D4,voteshare_mean_I1,voteshare_mean_R1,voteshare_mean_R2,voteshare_mean_R3,voteshare_mean_R4,voteshare_mean_O1,p90_voteshare_simmed_I1,p90_voteshare_simmed_O1,p90_voteshare_simmed_D1,p90_voteshare_simmed_R1,p90_voteshare_simmed_D2,p90_voteshare_simmed_R2,p90_voteshare_simmed_R3,p90_voteshare_simmed_R4,p90_voteshare_simmed_D3,p90_voteshare_simmed_D4,p10_voteshare_simmed_I1,p10_voteshare_simmed_O1,p10_voteshare_simmed_D1,p10_voteshare_simmed_R1,p10_voteshare_simmed_D2,p10_voteshare_simmed_R2,p10_voteshare_simmed_R3,p10_voteshare_simmed_R4,p10_voteshare_simmed_D3,p10_voteshare_simmed_D4,pvi_538,vep,mean_netpartymargin,p90_netpartymargin,p10_netpartymargin,wonrunoff_D1,lostrunoff_D1,wonrunoff_D2,lostrunoff_D2,wonrunoff_D3,lostrunoff_D3,wonrunoff_D4,lostrunoff_D4,wonrunoff_R1,lostrunoff_R1,wonrunoff_R2,lostrunoff_R2,wonrunoff_R3,lostrunoff_R3,wonrunoff_R4,lostrunoff_R4,wonrunoff_I1,lostrunoff_I1,simulations,timestamp
2022,Governor,WY-G1,8/11/22,_lite,Theresa A. Livingston,,,,,Mark Gordon,,,,,0.002925,0,0,0.0,0.997075,0.0,0,0.0,0.0,0,0.002925,0.997075,0.0010125,0.4906043,163161.8,198769.6,128486.9,31.06196,0,0,0.0,0.0,68.93804,0.0,0,0.0,0.0,0.0,0.0,38.82277,76.71074,0,0.0,0,0.0,0,0.0,0.0,0.0,23.289260000000002,61.17723,0,0.0,0,0.0,0,0.0,-49.87335,424412.0,-37.87608,-22.354470000000003,-53.42148,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Governor,WI-G1,8/11/22,_lite,Tony Evers,,,,Joan Ellis Beglinger,Tim Michels,,,,,0.775225,0,0,0.0,0.22475,0.0,0,0.0,2.5e-05,0,0.775225,0.22475,0.0365,1.2477040000000001,2312790.0,2704395.0,1929173.0,52.36673,0,0,0.0,1.907196,45.72607,0.0,0,0.0,0.0,3.8582,0.0,58.17803000000001,51.529140000000005,0,0.0,0,0.0,0,0.0,0.42535100000000003,0.0,46.53855,39.87147,0,0.0,0,0.0,0,0.0,-3.823667,4351464.0,6.640656,18.05167,-4.762707,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Governor,VT-G1,8/11/22,_lite,Brenda Siegel,,,,,Phil Scott,,,,all others,0.0602,0,0,0.0,0.939775,0.0,0,0.0,0.0,0,0.0602,0.939775,0.016125,5.350925,238246.0,282627.4,195584.9,34.4333,0,0,0.0,0.0,54.9658,0.0,0,0.0,10.60089,0.0,16.5942,43.28632,63.80105,0,0.0,0,0.0,0,0.0,0.0,5.3082709999999995,25.543029999999998,46.08208,0,0.0,0,0.0,0,0.0,27.772879999999997,503792.0,-20.5325,-3.879486,-37.05704,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Governor,TX-G1,8/11/22,_lite,Beto O'Rourke,,,,,Greg Abbott,,,,all others,0.159075,0,0,0.0,0.840925,0.0,0,0.0,0.0,0,0.159075,0.840925,0.0784875,0.8809538,7043720.0,8545010.0,5585930.0,42.66962,0,0,0.0,0.0,49.75703,0.0,0,0.0,7.573353999999999,0.0,12.600539999999999,47.86084,54.90406,0,0.0,0,0.0,0,0.0,0.0,3.235991,37.40576,44.48247,0,0.0,0,0.0,0,0.0,-12.90963,18500000.0,-7.087406,2.109093,-16.185129999999997,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Governor,TN-G1,8/11/22,_lite,Jason Brantley Martin,,,,,Bill Lee,,,,all others,0.0166,0,0,0.0,0.9834,0.0,0,0.0,0.0,0,0.0166,0.9834,0.0051875,0.23301039999999998,1760100.0,2139541.0,1390901.0,30.375759999999996,0,0,0.0,0.0,57.86061,0.0,0,0.0,11.763630000000001,0.0,18.05016,38.67562,66.17296999999999,0,0.0,0,0.0,0,0.0,0.0,6.131538,21.97475,49.45946,0,0.0,0,0.0,0,0.0,-29.21185,4750229.0,-27.484859999999998,-11.96463,-43.02381,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Governor,SD-G1,8/11/22,_lite,Jamie Smith,,,,Tracey Quint,Kristi Noem,,,,,0.014875,0,0,0.0,0.985125,0.0,0,0.0,0.0,0,0.014875,0.985125,0.004325,1.20949,282708.3,338106.8,228580.9,33.77856,0,0,0.0,3.9007620000000003,62.32068,0.0,0,0.0,0.0,7.204157,0.0,41.679429999999996,70.41155,0,0.0,0,0.0,0,0.0,1.230446,0.0,25.63626,54.37299,0,0.0,0,0.0,0,0.0,-32.01005,647453.0,-28.54213,-13.15872,-44.40844,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Governor,SC-G1,8/11/22,_lite,Joe Cunningham,,,,,Henry McMaster,,,,all others,0.038275,0,0,0.0,0.961725,0.0,0,0.0,0.0,0,0.038275,0.961725,0.0126,0.6650903,1497768.0,1812405.0,1191262.0,36.09236,0,0,0.0,0.0,57.85375,0.0,0,0.0,6.053883,0.0,10.4692,44.174409999999995,65.86310999999999,0,0.0,0,0.0,0,0.0,0.0,2.325759,28.105929999999997,49.7606,0,0.0,0,0.0,0,0.0,-18.297829999999998,3897996.0,-21.76139,-6.286258999999999,-37.14365,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Governor,RI-G1,8/11/22,_lite,Daniel J. McKee,,,,,Ashley Kalus,,,,all others,0.894725,0,0,0.0,0.105275,0.0,0,0.0,0.0,0,0.894725,0.105275,0.0152125,3.835116,313600.5,378828.7,249377.2,55.45964,0,0,0.0,0.0,40.43312,0.0,0,0.0,4.107239,0.0,7.601844,63.4151,48.30236,0,0.0,0,0.0,0,0.0,0.0,1.309615,47.54152,32.40825,0,0.0,0,0.0,0,0.0,23.66066,794970.0,15.02653,30.594759999999997,-0.40135,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Governor,PA-G1,8/11/22,_lite,Josh Shapiro,,,,,Douglas V. Mastriano,,,,all others,0.86015,0,0,0.0,0.13985,0.0,0,0.0,0.0,0,0.86015,0.13985,0.022775,0.396383,4542533.0,5385116.0,3727956.0,52.75102,0,0,0.0,0.0,45.05896,0.0,0,0.0,2.190019,0.0,4.3892940000000005,57.5261,49.76852,0,0.0,0,0.0,0,0.0,0.0,0.5105956,48.00052,40.25056,0,0.0,0,0.0,0,0.0,-2.976064,9742133.0,7.6920660000000005,16.95494,-1.469709,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Governor,OR-G1,8/11/22,_lite,Tina Kotek,,,,,Christine Drazan,,,,all others,0.731125,0,0,0.0,0.268875,0.0,0,0.0,0.0,0,0.731125,0.268875,0.045425,2.2618869999999998,1587738.0,1864109.0,1319232.0,47.02632,0,0,0.0,0.0,42.027429999999995,0.0,0,0.0,10.94625,0.0,17.07897,53.067119999999996,48.08508,0,0.0,0,0.0,0,0.0,0.0,5.515169,40.85205,35.89841,0,0.0,0,0.0,0,0.0,10.62213,3113975.0,4.998886,15.49951,-5.6086599999999995,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
