cycle,branch,district,forecastdate,expression,name_D1,name_D2,name_D3,name_D4,name_I1,name_R1,name_R2,name_R3,name_R4,name_O1,winner_D1,winner_D2,winner_D3,winner_D4,winner_R1,winner_R2,winner_R3,winner_R4,winner_I1,winner_O1,winner_Dparty,winner_Rparty,tipping,vpi,mean_predicted_turnout,p90_simmed_turnout_gross,p10_simmed_turnout_gross,voteshare_mean_D1,voteshare_mean_D2,voteshare_mean_D3,voteshare_mean_D4,voteshare_mean_I1,voteshare_mean_R1,voteshare_mean_R2,voteshare_mean_R3,voteshare_mean_R4,voteshare_mean_O1,p90_voteshare_simmed_I1,p90_voteshare_simmed_O1,p90_voteshare_simmed_D1,p90_voteshare_simmed_R1,p90_voteshare_simmed_D2,p90_voteshare_simmed_R2,p90_voteshare_simmed_R3,p90_voteshare_simmed_R4,p90_voteshare_simmed_D3,p90_voteshare_simmed_D4,p10_voteshare_simmed_I1,p10_voteshare_simmed_O1,p10_voteshare_simmed_D1,p10_voteshare_simmed_R1,p10_voteshare_simmed_D2,p10_voteshare_simmed_R2,p10_voteshare_simmed_R3,p10_voteshare_simmed_R4,p10_voteshare_simmed_D3,p10_voteshare_simmed_D4,pvi_538,vep,elasticity,mean_netpartymargin,p90_netpartymargin,p10_netpartymargin,wonrunoff_D1,lostrunoff_D1,wonrunoff_D2,lostrunoff_D2,wonrunoff_D3,lostrunoff_D3,wonrunoff_D4,lostrunoff_D4,wonrunoff_R1,lostrunoff_R1,wonrunoff_R2,lostrunoff_R2,wonrunoff_R3,lostrunoff_R3,wonrunoff_R4,lostrunoff_R4,wonrunoff_I1,lostrunoff_I1,simulations,timestamp
2022,Senate,WI-S3,8/11/22,_lite,Mandela Barnes,,,,,Ron Johnson,,,,,0.34545,0.0,0.0,0.0,0.65455,0.0,0,,0.0,0,0.34545,0.65455,0.0532125,1.71111,2317957.0,2660768.0,1982838.0,48.20256,0.0,0.0,0.0,0.0,51.79744,0.0,0,0.0,0.0,0.0,0.0,53.998290000000004,57.60419,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,42.39581,46.001709999999996,0.0,0.0,0,0.0,0.0,0.0,-3.823667,4351464.0,1.0456020000000001,-3.594872,7.996574000000001,-15.20839,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Senate,WA-S3,8/11/22,_lite,Patty Murray,,,,,Tiffany Smiley,,,,,0.9705,0.0,0.0,0.0,0.0295,0.0,0,,0.0,0,0.9705,0.0295,0.016525,0.4828182,2551100.0,2943765.0,2167645.0,57.20449,0.0,0.0,0.0,0.0,42.79551,0.0,0,0.0,0.0,0.0,0.0,62.019619999999996,47.60796,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,52.39204,37.98038,0.0,0.0,0,0.0,0.0,0.0,14.230720000000002,5346645.0,1.0590680000000001,14.40898,24.03923,4.784088,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Senate,VT-S3,8/11/22,_lite,Peter Welch,,,,,Gerald Malloy,,,,all others,0.97915,0.0,0.0,0.0,0.02085,0.0,0,,0.0,0,0.97915,0.02085,0.006975,2.072221,250886.7,291637.1,211415.7,57.96289,0.0,0.0,0.0,0.0,32.65975,0.0,0,0.0,9.377355999999999,0.0,15.0001,66.13086,40.81236,0.0,0.0,0,0.0,0.0,0.0,0.0,4.4284349999999995,49.768,24.44389,0.0,0.0,0,0.0,0.0,0.0,27.772879999999997,503792.0,1.154198,25.30314,40.755590000000005,10.03657,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Senate,UT-S3,8/11/22,_lite,,,,,Evan McMullin,Mike Lee,,,,all others,0.0,0.0,0.0,0.0,0.8894,0.0,0,,0.1106,0,0.0825,0.9175,0.0115125,0.9170550999999999,935715.4,1092631.0,783488.6,0.0,0.0,0.0,0.0,38.337270000000004,49.68529,0.0,0,0.0,11.97744,45.01252,18.31255,0.0,56.36046999999999,0.0,0.0,0,0.0,0.0,0.0,31.596590000000003,6.275792,0.0,42.89719,0.0,0.0,0,0.0,0.0,0.0,-26.29008,2145495.0,1.112615,-11.34801,0.562027,-23.22745,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Senate,SD-S3,8/11/22,_lite,Brian L. Bengs,,,,Tamara J. Lesnar,John R. Thune,,,,,0.008625,0.0,0.0,0.0,0.991375,0.0,0,,0.0,0,0.008625,0.991375,0.0008625,0.2151521,298801.8,349294.9,250199.7,35.26478,0.0,0.0,0.0,3.3306970000000002,61.40453,0.0,0,0.0,0.0,6.30345,0.0,42.03503,68.22593,0.0,0.0,0,0.0,0.0,0.0,0.9533408000000001,0.0,28.429609999999997,54.598980000000005,0.0,0.0,0,0.0,0.0,0.0,-32.01005,647453.0,1.026199,-26.13975,-12.92327,-39.39985,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Senate,SC-S3,8/11/22,_lite,Krystle Matthews,,,,Larry Adams,Tim Scott,,,,,0.02075,0.0,0.0,0.0,0.979225,0.0,0,,2.5e-05,0,0.02075,0.97925,0.0019875,0.09211989999999999,1608138.0,1875235.0,1347856.0,38.121590000000005,0.0,0.0,0.0,2.50235,59.37607,0.0,0,0.0,0.0,4.924881,0.0,44.63363,65.97691999999999,0.0,0.0,0,0.0,0.0,0.0,0.6338151,0.0,31.54447,52.83409,0.0,0.0,0,0.0,0.0,0.0,-18.297829999999998,3897996.0,0.9588061999999999,-21.254479999999997,-8.472094,-34.23333,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Senate,PA-S3,8/11/22,_lite,John Fetterman,,,,,Mehmet Oz,,,,all others,0.896175,0.0,0.0,0.0,0.103825,0.0,0,,0.0,0,0.896175,0.103825,0.060225,0.9876718000000001,4544998.0,5234031.0,3876564.0,52.97453,0.0,0.0,0.0,0.0,43.76318,0.0,0,0.0,3.26228,0.0,6.163673,57.85981999999999,48.6842,0.0,0.0,0,0.0,0.0,0.0,0.0,0.9445216999999999,48.06033,38.84499,0.0,0.0,0,0.0,0.0,0.0,-2.976064,9742133.0,0.9917316999999999,9.211349,18.54375,-0.13716129999999999,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Senate,OR-S3,8/11/22,_lite,Ron Wyden,,,,,Jo Rae Perkins,,,,all others,0.9754,0.0,0.0,0.0,0.0246,0.0,0,,0.0,0,0.9754,0.0246,0.00855,0.4063177,1568447.0,1805581.0,1334884.0,58.66615,0.0,0.0,0.0,0.0,35.7739,0.0,0,0.0,5.559955,0.0,9.722227,66.11548,43.17341,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0528299999999997,51.18403,28.212,0.0,0.0,0,0.0,0.0,0.0,10.62213,3113975.0,0.9799120000000001,22.89226,37.27089,8.571745,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Senate,OK-S3,8/11/22,_lite,Madison Horn,,,,,James Lankford,,,,all others,0.000725,0.0,0.0,0.0,0.999275,0.0,0,,0.0,0,0.000725,0.999275,0.0001125,0.0077804,1077757.0,1273030.0,887434.6,27.71885,0.0,0.0,0.0,0.0,68.09391,0.0,0,0.0,4.1872370000000005,0.0,7.716361999999999,34.8932,75.3295,0.0,0.0,0,0.0,0.0,0.0,0.0,1.345755,20.465220000000002,60.89853000000001,0.0,0.0,0,0.0,0.0,0.0,-36.97133,2842656.0,0.9560909,-40.37506,-26.50855,-54.44818000000001,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Senate,OK-S2,8/11/22,_lite,Kendra Horn,,,,,Markwayne Mullin,,,,all others,0.008175,0.0,0.0,0.0,0.991825,0.0,0,,0.0,0,0.008175,0.991825,0.00085,0.06028340000000001,1050971.0,1241830.0,864924.0,33.60783,0.0,0.0,0.0,0.0,62.204930000000004,0.0,0,0.0,4.1872370000000005,0.0,7.689698,40.9078,69.54991,0.0,0.0,0,0.0,0.0,0.0,0.0,1.342066,26.27512,54.83951,0.0,0.0,0,0.0,0.0,0.0,-36.97133,2842656.0,0.9560909,-28.5971,-14.449029999999999,-42.86,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Senate,OH-S3,8/11/22,_lite,Tim Ryan,,,,,J.D. Vance,,,,,0.6941,0.0,0.0,0.0,0.3059,0.0,0,,0.0,0,0.6941,0.3059,0.10155,1.884416,4016730.0,4634144.0,3416527.0,52.11464,0.0,0.0,0.0,0.0,47.88536,0.0,0,0.0,0.0,0.0,0.0,57.34125,53.215959999999995,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.784040000000005,42.65875,0.0,0.0,0,0.0,0.0,0.0,-12.10777,8831240.0,1.020508,4.229271,14.6825,-6.431915,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
2022,Senate,NY-S3,8/11/22,_lite,Charles E. Schumer,,,,,Joe Pinion,,,,all others,0.995625,0.0,0.0,0.0,0.004375,0.0,0,,0.0,0,0.995625,0.004375,0.0022,0.029166700000000004,5622181.0,6490280.0,4773258.0,58.955830000000006,0.0,0.0,0.0,0.0,37.097640000000006,0.0,0,0.0,3.9465239999999997,0.0,7.296982000000001,64.13396,42.33305,0.0,0.0,0,0.0,0.0,0.0,0.0,1.2419950000000002,53.68034,31.870959999999997,0.0,0.0,0,0.0,0.0,0.0,19.93185,13400000.0,0.9687177,21.85819,31.64738,11.947339999999999,,,,,,,,,,,,,,,,,,,40000,21:14:54 11 Aug 2022
